X,Y,pnt_val,rast_val,diff,Elevation,pnt_val_2,rast_val_2,diff_2,uaa
445719.04630056,4462293.18714324,1.000000000000000,2767.699000000000100,2766.699000000000100,2768,1.000000000000000,349424.000000000000000,349423.000000000000000,349424
446020.768016622,4462622.33810616,1.000000000000000,2729.387000000000200,2728.387000000000200,2729,1.000000000000000,349424.000000000000000,349423.000000000000000,349424
445481.326160632,4462210.89940251,2.000000000000000,2790.929999999999800,2788.929999999999800,2791,2.000000000000000,88254.000000000000000,88252.000000000000000,88254
445709.903218255,4462293.18714324,2.000000000000000,2768.161999999999800,2766.161999999999800,2768,2.000000000000000,88254.000000000000000,88252.000000000000000,88254
443972.717580322,4462284.04406094,3.000000000000000,3019.701000000000000,3016.701000000000000,3020,3.000000000000000,25208.000000000000000,25205.000000000000000,25208
444474.757896764,4462257.44402435,3.000000000000000,2951.105000000000000,2948.105000000000000,2951,3.000000000000000,25208.000000000000000,25205.000000000000000,25208
444474.757896764,4462257.44402435,4.000000000000000,2951.105000000000000,2947.105000000000000,2951,4.000000000000000,27840.000000000000000,27836.000000000000000,27840
444951.55028859,4462137.75474408,4.000000000000000,2901.882999999999800,2897.882999999999800,2902,4.000000000000000,27840.000000000000000,27836.000000000000000,27840
444951.55028859,4462137.75474408,5.000000000000000,2901.882999999999800,2896.882999999999800,2902,5.000000000000000,32386.000000000000000,32381.000000000000000,32386
445472.183078327,4462210.89940251,5.000000000000000,2792.005999999999900,2787.005999999999900,2792,5.000000000000000,32386.000000000000000,32381.000000000000000,32386
443460.704971246,4461534.31131206,6.000000000000000,3150.128999999999900,3144.128999999999900,3150,6.000000000000000,27960.000000000000000,27954.000000000000000,27960
443935.425876521,4461789.59824198,6.000000000000000,3110.688000000000100,3104.688000000000100,3111,6.000000000000000,27960.000000000000000,27954.000000000000000,27960
443935.425876521,4461789.59824198,7.000000000000000,3110.688000000000100,3103.688000000000100,3111,7.000000000000000,35570.000000000000000,35563.000000000000000,35570
444380.49905111,4461528.82546269,7.000000000000000,3018.679000000000100,3011.679000000000100,3019,7.000000000000000,35570.000000000000000,35563.000000000000000,35570
444380.49905111,4461528.82546269,8.000000000000000,3018.679000000000100,3010.679000000000100,3019,8.000000000000000,36744.000000000000000,36736.000000000000000,36744
444795.594987764,4461693.6162619,8.000000000000000,2950.695999999999900,2942.695999999999900,2951,8.000000000000000,36744.000000000000000,36736.000000000000000,36744
444795.594987764,4461693.6162619,9.000000000000000,2950.695999999999900,2941.695999999999900,2951,9.000000000000000,44945.000000000000000,44936.000000000000000,44945
445250.331067733,4461815.32882819,9.000000000000000,2861.717000000000100,2852.717000000000100,2862,9.000000000000000,44945.000000000000000,44936.000000000000000,44945
445250.331067733,4461815.32882819,10.000000000000000,2861.717000000000100,2851.717000000000100,2862,10.000000000000000,51324.000000000000000,51314.000000000000000,51324
445472.183078327,4462201.75632021,10.000000000000000,2792.730000000000000,2782.730000000000000,2793,10.000000000000000,51324.000000000000000,51314.000000000000000,51324
445188.747526875,4460876.00938623,11.000000000000000,2979.348000000000000,2968.348000000000000,2979,11.000000000000000,236091.000000000000000,236080.000000000000000,236091
445599.057280837,4460984.59742411,11.000000000000000,2969.204000000000200,2958.204000000000200,2969,11.000000000000000,236091.000000000000000,236080.000000000000000,236091
445599.057280837,4460984.59742411,12.000000000000000,2969.204000000000200,2957.204000000000200,2969,12.000000000000000,237797.000000000000000,237785.000000000000000,237797
445764.761712085,4461377.9042446,12.000000000000000,2916.534000000000100,2904.534000000000100,2917,12.000000000000000,237797.000000000000000,237785.000000000000000,237797
445764.761712085,4461377.9042446,13.000000000000000,2916.534000000000100,2903.534000000000100,2917,13.000000000000000,242644.000000000000000,242631.000000000000000,242644
445764.761712085,4461846.12290754,13.000000000000000,2844.608000000000200,2831.608000000000200,2845,13.000000000000000,242644.000000000000000,242631.000000000000000,242644
445764.761712085,4461846.12290754,14.000000000000000,2844.608000000000200,2830.608000000000200,2845,14.000000000000000,244889.000000000000000,244875.000000000000000,244889
445709.903218255,4462284.04406094,14.000000000000000,2768.717000000000100,2754.717000000000100,2769,14.000000000000000,244889.000000000000000,244875.000000000000000,244889
443241.270995929,4458891.96052641,15.000000000000000,3311.610000000000100,3296.610000000000100,3312,15.000000000000000,26970.000000000000000,26955.000000000000000,26970
443469.848053551,4459302.85774769,15.000000000000000,3291.933000000000000,3276.933000000000000,3292,15.000000000000000,26970.000000000000000,26955.000000000000000,26970
443469.848053551,4459302.85774769,16.000000000000000,3291.933000000000000,3275.933000000000000,3292,16.000000000000000,33445.000000000000000,33429.000000000000000,33445
443558.447775424,4459790.81369331,16.000000000000000,3159.523000000000100,3143.523000000000100,3160,16.000000000000000,33445.000000000000000,33429.000000000000000,33445
443558.447775424,4459790.81369331,17.000000000000000,3159.523000000000100,3142.523000000000100,3160,17.000000000000000,38187.000000000000000,38170.000000000000000,38187
443792.763612579,4460211.47205644,17.000000000000000,3120.098000000000000,3103.098000000000000,3120,17.000000000000000,38187.000000000000000,38170.000000000000000,38187
443792.763612579,4460211.47205644,18.000000000000000,3120.098000000000000,3102.098000000000000,3120,18.000000000000000,65978.000000000000000,65960.000000000000000,65978
444262.924575983,4460434.76979757,18.000000000000000,3105.880000000000100,3087.880000000000100,3106,18.000000000000000,65978.000000000000000,65960.000000000000000,65978
444262.924575983,4460434.76979757,19.000000000000000,3105.880000000000100,3086.880000000000100,3106,19.000000000000000,76078.000000000000000,76059.000000000000000,76078
444741.119379803,4460638.67213221,19.000000000000000,3029.851999999999900,3010.851999999999900,3030,19.000000000000000,76078.000000000000000,76059.000000000000000,76078
444741.119379803,4460638.67213221,20.000000000000000,3029.851999999999900,3009.851999999999900,3030,20.000000000000000,85412.000000000000000,85392.000000000000000,85412
445179.60444457,4460876.00938623,20.000000000000000,2979.306999999999800,2959.306999999999800,2979,20.000000000000000,85412.000000000000000,85392.000000000000000,85412
446112.198839671,4457145.63180648,21.000000000000000,3386.886000000000000,3365.886000000000000,3387,21.000000000000000,25230.000000000000000,25209.000000000000000,25230
